Alpha-2 code,Year,Total Livestock,Country,Alpha-3 code,Numeric
LT,2019 ,1578.4,Lithuania,LTU,440
LU,2019 ,338.96999999999997,Luxembourg,LUX,442
LV,2019 ,947.75,Latvia,LVA,428
ME,2019 ,343.7,Montenegro,MNE,499
MK,2019 ,1150.0,Republic of North Macedonia,MKD,807
MT,2019 ,68.75999999999999,Malta,MLT,470
NL,2019 ,17990.0,Netherlands (the),NLD,528
RS,2019 ,5866.0,Serbia,SRB,688
PT,2019 ,6384.85,Portugal,PRT,620
RO,2019 ,17254.9,Romania,ROU,642
SE,2019 ,3558.48,Sweden,SWE,752
SI,2019 ,934.31,Slovenia,SVN,705
SK,2019 ,1467.89,Slovakia,SVK,703
TR,2019 ,61061.48,Turkey,TUR,792
IS,2019 ,558.1,Iceland,ISL,352
PL,2019 ,19912.54,Poland,POL,616
GB,2019 ,38823.0,United Kingdom of Great Britain and Northern Ireland (the),GBR,826
IE,2019 ,13408.05,Ireland,IRL,372
HR,2019 ,2230.0,Croatia,HRV,191
HU,2019 ,4847.0,Hungary,HUN,348
AL,2019 ,2671.68,Albania,ALB,8
AT,2019 ,5579.4800000000005,Austria,AUT,40
BA,2019 ,2179.0,Bosnia and Herzegovina,BIH,70
BE,2019 ,9113.48,Belgium,BEL,56
CH,2019 ,5193.04,Switzerland,CHE,756
CY,2019 ,783.99,Cyprus,CYP,196
BG,2019 ,2526.67,Bulgaria,BGR,100
DE,2019 ,43261.100000000006,Germany,DEU,276
DK,2019 ,14929.01,Denmark,DNK,208
EE,2019 ,713.7,Estonia,EST,233
GR,2019 ,9776.0,Greece,GRC,300
ES,2019 ,54137.86,Spain,ESP,724
FI,2019 ,2306.76,Finland,FIN,246
FR,2019 ,42278.78,France,FRA,250
CZ,2019 ,3450.46,Czechia,CZE,203
MT,2020 ,73.59,Malta,MLT,470
LT,2020 ,1583.4,Lithuania,LTU,440
LU,2020 ,335.83666666666664,Luxembourg,LUX,442
LV,2020 ,933.74,Latvia,LVA,428
ME,2020 ,334.45000000000005,Montenegro,MNE,499
MK,2020 ,1125.0,Republic of North Macedonia,MKD,807
GB,2020 ,38823.0,United Kingdom of Great Britain and Northern Ireland (the),GBR,826
IT,2020 ,23848.5,Italy,ITA,380
PT,2020 ,6479.759999999999,Portugal,PRT,620
RO,2020 ,17063.1,Romania,ROU,642
RS,2020 ,5971.0,Serbia,SRB,688
SE,2020 ,3452.4,Sweden,SWE,752
SI,2020 ,926.8733333333333,Slovenia,SVN,705
SK,2020 ,1416.7333333333333,Slovakia,SVK,703
TR,2020 ,66303.69,Turkey,TUR,792
PL,2020 ,20399.816666666666,Poland,POL,616
IS,2020 ,540.2333333333333,Iceland,ISL,352
NL,2020 ,17511.0,Netherlands (the),NLD,528
HU,2020 ,4973.5,Hungary,HUN,348
AL,2020 ,2366.01,Albania,ALB,8
AT,2020 ,5580.43,Austria,AUT,40
BA,2020 ,2179.0,Bosnia and Herzegovina,BIH,70
BE,2020 ,9206.57,Belgium,BEL,56
BG,2020 ,2730.72,Bulgaria,BGR,100
CH,2020 ,5133.34,Switzerland,CHE,756
CY,2020 ,807.91,Cyprus,CYP,196
CZ,2020 ,3443.1833333333334,Czechia,CZE,203
IE,2020 ,13541.279999999999,Ireland,IRL,372
DK,2020 ,15592.176666666666,Denmark,DNK,208
EE,2020 ,723.9666666666667,Estonia,EST,233
GR,2020 ,9186.3,Greece,GRC,300
ES,2020 ,55682.46,Spain,ESP,724
FI,2020 ,2335.5133333333333,Finland,FIN,246
FR,2020 ,41613.06,France,FRA,250
HR,2020 ,2228.0,Croatia,HRV,191
DE,2020 ,42776.87,Germany,DEU,276
LT,2021 ,1564.6,Lithuania,LTU,440
LU,2021 ,328.99333333333334,Luxembourg,LUX,442
LV,2021 ,942.03,Latvia,LVA,428
ME,2021 ,310.59,Montenegro,MNE,499
MK,2021 ,1095.0,Republic of North Macedonia,MKD,807
MT,2021 ,72.67,Malta,MLT,470
NL,2021 ,16860.0,Netherlands (the),NLD,528
PL,2021 ,18923.393333333333,Poland,POL,616
SE,2021 ,3410.76,Sweden,SWE,752
RO,2021 ,16615.7,Romania,ROU,642
RS,2021 ,5831.0,Serbia,SRB,688
SI,2021 ,914.1366666666667,Slovenia,SVN,705
SK,2021 ,1314.8466666666666,Slovakia,SVK,703
TR,2021 ,69326.95,Turkey,TUR,792
GB,2021 ,38823.0,United Kingdom of Great Britain and Northern Ireland (the),GBR,826
IT,2021 ,23260.97,Italy,ITA,380
PT,2021 ,6329.66,Portugal,PRT,620
IS,2021 ,519.6366666666667,Iceland,ISL,352
IE,2021 ,13859.35,Ireland,IRL,372
HU,2021 ,4803.7,Hungary,HUN,348
AL,2021 ,2252.05,Albania,ALB,8
AT,2021 ,5584.5,Austria,AUT,40
BA,2021 ,2091.3799999999997,Bosnia and Herzegovina,BIH,70
BE,2021 ,9002.36,Belgium,BEL,56
CH,2021 ,5200.25,Switzerland,CHE,756
CY,2021 ,834.67,Cyprus,CYP,196
CZ,2021 ,3402.366666666667,Czechia,CZE,203
BG,2021 ,2735.75,Bulgaria,BGR,100
DK,2021 ,15325.343333333334,Denmark,DNK,208
EE,2021 ,708.9333333333334,Estonia,EST,233
GR,2021 ,9155.199999999999,Greece,GRC,300
ES,2021 ,56920.6,Spain,ESP,724
FI,2021 ,2308.556666666667,Finland,FIN,246
FR,2021 ,40587.740000000005,France,FRA,250
HR,2021 ,2156.0,Croatia,HRV,191
DE,2021 ,40142.78,Germany,DEU,276
NL,2022 ,16750.0,Netherlands (the),NLD,528
LT,2022 ,1519.1599999999999,Lithuania,LTU,440
LU,2022 ,316.87,Luxembourg,LUX,442
LV,2022 ,914.38,Latvia,LVA,428
ME,2022 ,304.78,Montenegro,MNE,499
